"x"	"family"	"TRY30_PhylogeneticGroup.y"	"P50"
"12"	"Abies alba"	"Pinaceae"	"Gymnosperm"	-3.69
"14"	"Abies balsamea"	"Pinaceae"	"Gymnosperm"	-2.725
"19"	"Abies concolor"	"Pinaceae"	"Gymnosperm"	-4.51
"24"	"Abies forrestii"	"Pinaceae"	"Gymnosperm"	-3.42
"26"	"Abies grandis"	"Pinaceae"	"Gymnosperm"	-3.65
"32"	"Abies lasiocarpa"	"Pinaceae"	"Gymnosperm"	-3.3
"37"	"Abies nordmanniana"	"Pinaceae"	"Gymnosperm"	-4.005
"40"	"Abies pinsapo"	"Pinaceae"	"Gymnosperm"	-4.15
"44"	"Abies sachalinensis"	"Pinaceae"	"Gymnosperm"	-3.23
"45"	"Abies sibirica"	"Pinaceae"	"Gymnosperm"	-3.67
"60"	"Acacia aneura"	"Leguminosae"	"Angiosperm"	-8.24
"77"	"Acacia constricta"	"Leguminosae"	"Angiosperm"	-0.7
"83"	"Acacia cyclops"	"Leguminosae"	"Angiosperm"	-0.91
"123"	"Acacia mangium"	"Leguminosae"	"Angiosperm"	-0.8
"196"	"Acer campestre"	"Sapindaceae"	"Angiosperm"	-4.03
"202"	"Acer davidii"	"Sapindaceae"	"Angiosperm"	-4.01
"203"	"Acer glabrum"	"Sapindaceae"	"Angiosperm"	-2.415
"214"	"Acer monspessulanum"	"Sapindaceae"	"Angiosperm"	-3.49
"215"	"Acer negundo"	"Sapindaceae"	"Angiosperm"	-1.56
"218"	"Acer opalus"	"Sapindaceae"	"Angiosperm"	-3.905
"221"	"Acer pictum"	"Sapindaceae"	"Angiosperm"	-3.02
"222"	"Acer platanoides"	"Sapindaceae"	"Angiosperm"	-2.04
"223"	"Acer pseudoplatanus"	"Sapindaceae"	"Angiosperm"	-2.16
"225"	"Acer rubrum"	"Sapindaceae"	"Angiosperm"	-3.08
"226"	"Acer saccharinum"	"Sapindaceae"	"Angiosperm"	-1
"227"	"Acer saccharum"	"Sapindaceae"	"Angiosperm"	-3.075
"240"	"Acinodendron pohlianum"	"Melastomataceae"	"Angiosperm"	-3.1
"244"	"Acmopyle pancheri"	"Podocarpaceae"	"Gymnosperm"	-3.5
