"x"	"family"	"TRY30_PhylogeneticGroup.y"	"leafNa"
"1"	"Abarema adenophora"	"Leguminosae"	"Angiosperm"	2.22999999894738
"4"	"Abarema jupunba"	"Leguminosae"	"Angiosperm"	1.7150000006553
"5"	"Abarema laeta"	"Leguminosae"	"Angiosperm"	2.33000000098417
"6"	"Abarema macradenia"	"Leguminosae"	"Angiosperm"	2.83999999950835
"7"	"Abarema mataybifolia"	"Leguminosae"	"Angiosperm"	2.42999999914353
"10"	"Abelia biflora"	"Caprifoliaceae"	"Angiosperm"	0.959999999539445
"12"	"Abies alba"	"Pinaceae"	"Gymnosperm"	2.14499999918494
"13"	"Abies amabilis"	"Pinaceae"	"Gymnosperm"	1.49000000006352
"14"	"Abies balsamea"	"Pinaceae"	"Gymnosperm"	1.99499999931806
"16"	"Abies cephalonica"	"Pinaceae"	"Gymnosperm"	1.94499999986305
"19"	"Abies concolor"	"Pinaceae"	"Gymnosperm"	3.80000000101711
"23"	"Abies firma"	"Pinaceae"	"Gymnosperm"	1.79000000026373
"26"	"Abies grandis"	"Pinaceae"	"Gymnosperm"	2.00999999985732
"32"	"Abies lasiocarpa"	"Pinaceae"	"Gymnosperm"	4.06000000156862
"36"	"Abies nephrolepis"	"Pinaceae"	"Gymnosperm"	1.07999999985298
"41"	"Abies procera"	"Pinaceae"	"Gymnosperm"	2.29000000099352
"50"	"Abuta grandifolia"	"Menispermaceae"	"Angiosperm"	1.87499999920805
"51"	"Abuta racemosa"	"Menispermaceae"	"Angiosperm"	1.48000000033149
"53"	"Abutilon indicum"	"Malvaceae"	"Angiosperm"	0.770000000103494
"60"	"Acacia aneura"	"Leguminosae"	"Angiosperm"	2.43999999925553
"63"	"Acacia auriculiformis"	"Leguminosae"	"Angiosperm"	2.59999999992867
"67"	"Acacia bonariensis"	"Leguminosae"	"Angiosperm"	2.00000000088011
"68"	"Acacia brachystachya"	"Leguminosae"	"Angiosperm"	3.54999999827
"74"	"Acacia colei"	"Leguminosae"	"Angiosperm"	2.51500000112747
"75"	"Acacia colletioides"	"Leguminosae"	"Angiosperm"	6.47000000315213
"77"	"Acacia constricta"	"Leguminosae"	"Angiosperm"	4.25000000027062
"78"	"Acacia coriacea"	"Leguminosae"	"Angiosperm"	3.24999999888965
"83"	"Acacia cyclops"	"Leguminosae"	"Angiosperm"	3.76499999905176
"85"	"Acacia dealbata"	"Leguminosae"	"Angiosperm"	1.8600000005113
"90"	"Acacia dimidiata"	"Leguminosae"	"Angiosperm"	4.30000000129208
"91"	"Acacia doratoxylon"	"Leguminosae"	"Angiosperm"	4.77000000047581
"94"	"Acacia falcata"	"Leguminosae"	"Angiosperm"	2.53000000065924
"98"	"Acacia fleckii"	"Leguminosae"	"Angiosperm"	7.12999999696116
"99"	"Acacia floribunda"	"Leguminosae"	"Angiosperm"	2.90000000002196
